section,question_no,question_type,instruction,prompt,source_text,answer,explanation,marks
reading,1,short_answer,Answer the question in one complete sentence.,What does reliable power support in modern society?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.","Reliable power supports homes, schools, hospitals, farms, workshops, and offices.",Answer is based directly on the passage.,2
reading,2,short_answer,Answer the question in one complete sentence.,How can electricity help people study and work more effectively?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.","Electricity helps people study and work more effectively by providing lighting, preserving food and medicine, operating machines, and improving communication.",Answer is based directly on the passage.,2
reading,3,short_answer,Answer the question in one complete sentence.,Why is affordable and continuous electricity important?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.",Affordable and continuous electricity is important because it supports daily life and productive activities without serious interruption.,Answer is based directly on the passage.,2
reading,4,short_answer,Answer the question in one complete sentence.,How does electricity support agriculture in rural areas?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.",Electricity supports agriculture in rural areas by reducing post-harvest losses and helping irrigation.,Answer is based directly on the passage.,2
reading,5,short_answer,Answer the question in one complete sentence.,Why does electricity encourage small businesses to expand?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.",Electricity encourages small businesses to expand because it allows them to operate equipment and work more efficiently.,Answer is based directly on the passage.,2
reading,6,short_answer,Answer the question in one complete sentence.,How can electricity improve health services?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.","Electricity can improve health services by supporting refrigeration, laboratory equipment, and safer patient care.",Answer is based directly on the passage.,2
reading,7,short_answer,Answer the question in one complete sentence.,Why is refrigeration important in clinics?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.",Refrigeration is important in clinics because it helps preserve vaccines and medicine safely.,Answer is based directly on the passage.,2
reading,8,short_answer,Answer the question in one complete sentence.,How is electricity significant in the education sector?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.",Electricity is significant in education because it provides better lighting and allows the use of computers and media.,Answer is based directly on the passage.,2
reading,9,short_answer,Answer the question in one complete sentence.,Is electricity alone enough for development? Why or why not?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.","No. Electricity alone is not enough for development, but it is a necessary condition for economic growth and social progress.",Answer is based directly on the passage.,2
reading,10,short_answer,Answer the question in one complete sentence.,What is the main idea of the passage?,"Electricity is one of the most important services for national development. In modern society, reliable power supports homes, schools, hospitals, farms, workshops, and offices. When electricity is affordable and continuous, people can study at night, preserve food and medicine, operate machines, and communicate more effectively. In rural areas, access to electricity can reduce post-harvest losses, support irrigation, and encourage small businesses to expand. Health services also improve because clinics can keep vaccines refrigerated, use laboratory equipment, and treat more patients safely. In the education sector, electricity provides better lighting, allows the use of computers and media, and creates a better learning environment. Although electricity alone cannot solve every development problem, it remains a necessary condition for economic growth and social progress.",The passage explains that reliable electricity is essential for economic and social development.,Answer is based directly on the passage.,2
